name,address,unit,hawkercenter,No of review
75 Ah Balling Peanut Soup ,335 Smith Street,#02-113 ,Chinatown Complex Market & Food Centre,35
Old Amoy Chendol ,335 Smith Street,#02-008 ,Chinatown Complex Market & Food Centre,18
Chang Ji Gourmet ,335 Smith Street,#02-110 ,Chinatown Complex Market & Food Centre,10
Wei Ji Noodle House 威记面家 ,335 Smith Street,#02-35 ,Chinatown Complex Market & Food Centre,6
Bedok Chwee Kueh ,335 Smith Street,#02-43 ,Chinatown Complex Market & Food Centre,24
HK Mong Kok Kui Ji Kitchen ,335 Smith Street,#02-217 ,Chinatown Complex Market & Food Centre,18
Ming Fa Fishball ,335 Smith Street,#02-102 ,Chinatown Complex Market & Food Centre,18
Lagoon in a Bowl ,7 Maxwell Road,#01-48 ,Amoy Street Food Centre,18
A Noodle Story ,7 Maxwell Road,#01-39 ,Amoy Street Food Centre,21
Pepper Bowl ,7 Maxwell Road,#02-102 ,Amoy Street Food Centre,18
Madam Leong ,7 Maxwell Road,#02-109 ,Amoy Street Food Centre,15
Grandma Ban Mee ,7 Maxwell Road,#01-07 ,Amoy Street Food Centre,18
Han Kee Fish Soup ,7 Maxwell Road,#02-129 ,Amoy Street Food Centre,18
Coffee Break ,7 Maxwell Road,#02-78 ,Amoy Street Food Centre,36
Lau Phua Chay Authentic Roasted Delicacies ,120 Bukit Merah Lane 1,#01-20 ,Alexandra Village Food Centre,18
Hor Fun Premium ,120 Bukit Merah Lane 1,#01-78 ,Alexandra Village Food Centre,4
King Avocado ,120 Bukit Merah Lane 1,#01-17 ,Alexandra Village Food Centre,6
Teochew Braised Duck Rice ,120 Bukit Merah Lane 1,#01-84 ,Alexandra Village Food Centre,8
Shanghai La Mian Xiao Long Bao ,120 Bukit Merah Lane 1,#01-56 ,Alexandra Village Food Centre,18
Xiang Jiang Soya Sauce Chicken ,120 Bukit Merah Lane 1,#01-77 ,Alexandra Village Food Centre,15
Dover Road Kai Kee Wanton Noodle ,120 Bukit Merah Lane 1,#01-09 ,Alexandra Village Food Centre,7
Old Amoy Chendol ,120 Bukit Merah Lane 1,#01-37 ,Alexandra Village Food Centre,18
Bai Nian Niang Dou Fu ,270 Queen Street,#01-106 ,Albert Centre Market & Food Centre,28
Traditional Wanton Noodle ,270 Queen Street,#01-118 ,Albert Centre Market & Food Centre,2
Traditional Wanton Noodle ,270 Queen Street,#01-118 ,Albert Centre Market & Food Centre,2
Say Seng Cooked Food ,270 Queen Street,#01-92 ,Albert Centre Market & Food Centre,4
Loyang Way Big Prawn Noodles ,270 Queen Street,#01-108 ,Albert Centre Market & Food Centre,4
Loyang Way Big Prawn Noodles ,270 Queen Street,#01-108 ,Albert Centre Market & Food Centre,4
Yi Ji Fried Hokkien Prawn Mee ,270 Queen Street,#01-87 ,Albert Centre Market & Food Centre,18
Koo Kee Yong Tow Foo Mee ,270 Queen Street,#01-71 ,Albert Centre Market & Food Centre,18
Yi Ji Fried Hokkien Prawn Mee ,270 Queen Street,#01-87 ,Albert Centre Market & Food Centre,18
